stevilka_police,komitent_id,datum_police,premija,tip_zavarovanja
1,676-35-2727,2003-08-18,29.5,2
2,131-78-5116,2015-01-24,13.34,2
3,531-06-7294,2016-02-18,62.33,2
4,397-71-5539,2013-09-20,65.85,3
5,222-99-2673,2010-03-15,28.83,1
6,303-11-0764,2010-11-25,128.87,2
7,454-81-0300,2017-07-21,124.09,3
8,364-42-4284,2006-04-17,130.68,3
9,585-38-0825,2017-10-17,136.39,3
10,789-05-3063,2016-12-02,74.76,1
11,129-34-7180,2004-10-30,182.4,3
12,300-82-4326,2015-06-10,122.19,2
13,789-05-3063,2008-02-08,116.97,3
14,113-35-0392,2006-08-23,117.36,1
15,571-26-4394,2006-04-22,151.88,2
16,334-46-4585,2013-09-01,194.14,1
17,373-12-0944,2011-09-14,61.74,3
18,602-41-4851,2016-05-25,88.8,2
19,353-26-2159,2017-04-30,124.14,3
20,383-98-8618,2008-05-19,106.51,1
21,570-81-8658,2020-04-21,88.73,2
22,810-21-7343,2006-02-23,152.29,2
23,233-93-7489,2015-10-21,130.93,2
24,478-30-6141,2006-03-24,84.0,2
25,169-54-4747,2014-03-23,27.63,1
26,156-71-3139,2016-01-27,139.01,3
27,223-21-2362,2005-03-25,123.97,3
28,736-32-1660,2010-12-30,29.59,3
29,736-32-1660,2016-08-19,65.55,2
30,849-84-5337,2011-04-04,46.52,3
31,197-56-8459,2006-01-31,111.95,2
32,323-54-7929,2012-04-28,114.72,1
33,376-65-0461,2012-12-16,65.53,3
34,692-18-0430,2010-02-21,198.8,2
35,800-43-6062,2012-05-12,-6.07,1
36,384-27-3364,2013-12-23,224.3,3
37,196-92-1767,2013-03-29,71.71,3
38,468-68-8671,2016-11-24,144.51,3
39,149-11-4284,2017-03-30,26.19,1
40,739-32-5561,2014-10-23,22.97,3
41,350-73-7726,2008-05-21,44.06,1
42,836-08-8105,2011-12-01,165.37,3
43,413-83-0521,2006-03-06,70.58,2
44,752-09-6452,2005-06-30,142.54,3
45,642-99-1501,2016-08-06,191.06,1
46,261-54-0490,2008-07-23,102.81,1
47,839-58-2023,2014-12-02,143.43,1
48,839-58-2023,2017-11-29,175.53,2
49,223-21-2362,2010-05-26,76.91,1
50,787-03-3502,2019-04-17,142.35,2
51,614-85-5921,2006-08-19,53.78,2
52,757-60-5464,2012-05-12,51.14,3
53,223-48-9971,2013-10-11,97.3,3
54,151-90-7128,2018-07-14,154.14,1
55,399-10-4855,2013-07-19,98.51,2
56,757-29-1840,2011-04-18,93.91,3
57,457-54-1203,2006-01-16,106.49,3
